Serial No.,note_pitch,baseline_time,altered_time
0,54,0.0,0.0
1,54,0.4,0.4
2,55,0.8,0.8
3,57,1.2000000000000002,1.2000000000000002
4,57,1.6,1.6
5,55,2.0,2.0
6,54,2.4000000000000004,2.4000000000000004
7,52,2.8000000000000003,2.8000000000000003
8,50,3.2,3.2
9,50,3.6,3.6
10,52,4.0,4.0
11,54,4.4,4.4
12,54,4.800000000000001,4.800000000000001
13,52,5.4,5.4
14,52,5.6000000000000005,5.6000000000000005
15,54,6.4,6.4
16,54,6.800000000000001,6.800000000000001
17,55,7.2,7.2
18,57,7.6000000000000005,7.6000000000000005
19,57,8.0,8.0
20,55,8.4,8.4
21,54,8.8,8.8
22,52,9.200000000000001,9.200000000000001
23,50,9.600000000000001,9.600000000000001
24,50,10.0,10.0
25,52,10.4,10.4
26,54,10.8,10.8
27,52,11.200000000000001,11.200000000000001
28,50,11.8,11.8
29,50,12.0,12.0
30,52,12.8,12.8
31,52,13.200000000000001,13.200000000000001
32,54,13.600000000000001,13.600000000000001
33,50,14.000000000000002,14.000000000000002
34,52,14.4,14.4
35,54,14.8,14.8
36,55,15.000000000000002,15.000000000000002
37,54,15.200000000000001,15.200000000000001
38,50,15.600000000000001,15.600000000000001
39,52,16.0,16.0
40,54,16.400000000000002,16.400000000000002
41,55,16.6,16.6
42,54,16.8,16.8
43,52,17.200000000000003,17.200000000000003
44,50,17.6,17.6
45,52,18.0,18.0
46,45,18.400000000000002,18.400000000000002
47,54,18.8,18.8
48,54,19.6,19.6
49,55,20.0,20.0
50,57,20.400000000000002,20.400000000000002
51,57,20.8,20.8
52,55,21.200000000000003,21.200000000000003
53,54,21.6,21.6
54,52,22.0,22.0
55,50,22.400000000000002,22.400000000000002
56,50,22.8,22.8
57,52,23.200000000000003,23.200000000000003
58,54,23.6,23.6
59,52,24.0,24.0
60,50,24.6,24.6
61,50,24.8,24.8
