beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,2.0,F#3,no,54,0.0,0.0
2.0,2.0,F#3,no,54,0.4,0.41583333333333333
4.0,2.0,G3,no,55,0.8,0.8708333333333333
6.0,2.0,A3,no,57,1.2000000000000002,1.2708333333333335
8.0,2.0,A3,no,57,1.6,1.71875
10.0,2.0,G3,no,55,2.0,1.9666666666666668
12.0,2.0,F#3,no,54,2.4000000000000004,2.4108333333333336
14.0,2.0,E3,no,52,2.8000000000000003,2.8158333333333334
16.0,2.0,D3,no,50,3.2,3.2158333333333333
18.0,2.0,D3,no,50,3.6,3.651666666666667
20.0,2.0,E3,no,52,4.0,4.051666666666667
22.0,2.0,F#3,no,54,4.4,4.496666666666667
24.0,3.0,F#3,no,54,4.800000000000001,4.896666666666667
27.0,1.0,E3,no,52,5.4,5.496666666666667
28.0,4.0,E3,no,52,5.6000000000000005,5.74
32.0,2.0,F#3,no,54,6.4,6.496666666666667
34.0,2.0,F#3,no,54,6.800000000000001,6.896666666666667
36.0,2.0,G3,no,55,7.2,7.296666666666667
38.0,2.0,A3,no,57,7.6000000000000005,7.696666666666667
40.0,2.0,A3,no,57,8.0,8.096666666666668
42.0,2.0,G3,no,55,8.4,8.496666666666668
44.0,2.0,F#3,no,54,8.8,8.896666666666667
46.0,2.0,E3,no,52,9.200000000000001,9.296666666666667
48.0,2.0,D3,no,50,9.600000000000001,9.696666666666667
50.0,2.0,D3,no,50,10.0,10.096666666666668
52.0,2.0,E3,no,52,10.4,10.496666666666668
54.0,2.0,F#3,no,54,10.8,10.896666666666667
56.0,3.0,E3,no,52,11.200000000000001,11.296666666666667
59.0,1.0,D3,no,50,11.8,11.896666666666668
60.0,4.0,D3,no,50,12.0,12.591666666666667
64.0,2.0,E3,no,52,12.8,12.896666666666668
66.0,2.0,E3,no,52,13.200000000000001,13.296666666666667
68.0,2.0,F#3,no,54,13.600000000000001,13.696666666666667
70.0,2.0,D3,no,50,14.000000000000002,14.096666666666668
72.0,2.0,E3,no,52,14.4,14.496666666666668
74.0,1.0,F#3,no,54,14.8,14.960833333333333
75.0,1.0,G3,no,55,15.000000000000002,15.292916666666668
76.0,2.0,F#3,no,54,15.200000000000001,15.492916666666668
78.0,2.0,D3,no,50,15.600000000000001,15.892916666666668
80.0,2.0,E3,no,52,16.0,16.292916666666667
82.0,1.0,F#3,no,54,16.400000000000002,16.69291666666667
83.0,1.0,G3,no,55,16.6,16.892916666666668
84.0,2.0,F#3,no,54,16.8,17.092916666666667
86.0,2.0,E3,no,52,17.200000000000003,17.49291666666667
88.0,2.0,D3,no,50,17.6,17.892916666666668
90.0,2.0,E3,no,52,18.0,18.292916666666667
92.0,2.0,A2,no,45,18.400000000000002,18.69291666666667
94.0,2.0,F#3,start,54,18.8,19.092916666666667
96.0,2.0,F#3,stop,54,19.200000000000003,19.492916666666666
98.0,2.0,F#3,no,54,19.6,19.892916666666668
100.0,2.0,G3,no,55,20.0,20.292916666666667
102.0,2.0,A3,no,57,20.400000000000002,20.69291666666667
104.0,2.0,A3,no,57,20.8,21.092916666666667
106.0,2.0,G3,no,55,21.200000000000003,21.33666666666667
108.0,2.0,F#3,no,54,21.6,21.636666666666667
110.0,2.0,E3,no,52,22.0,22.136666666666667
112.0,2.0,D3,no,50,22.400000000000002,22.69291666666667
114.0,2.0,D3,no,50,22.8,23.092916666666667
116.0,2.0,E3,no,52,23.200000000000003,23.49291666666667
118.0,2.0,F#3,no,54,23.6,23.892916666666668
120.0,3.0,E3,no,52,24.0,24.292916666666667
123.0,1.0,D3,no,50,24.6,24.892916666666668
124.0,4.0,D3,no,50,24.8,25.092916666666667
