beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,B3,no,59,4.817,4.817
1.0,1.0,A3,no,57,5.425,5.429
2.0,1.0,G3,no,55,5.947,5.926
3.0,1.0,F#3,no,54,6.505,6.48
4.0,0.5,E3,no,52,7.02,7.007
4.5,0.5,G3,no,55,7.259,7.246
5.0,0.5,F#3,no,54,7.605,7.588
5.5,0.5,A3,no,57,7.89,7.88
6.0,1.0,G3,no,55,8.209,8.164
7.0,1.0,D3,no,50,8.694,8.682
8.0,1.0,D4,no,62,9.269,9.25
9.0,1.0,C4,no,60,9.861,9.813
10.0,1.0,B3,no,59,10.385,10.353
11.0,1.0,G3,no,55,10.907,10.867
12.0,1.0,F#3,no,54,11.459,11.399
13.0,1.0,E3,no,52,12.067,11.982
14.0,1.0,D3,no,50,12.618,12.498
16.0,1.0,B3,no,59,14.156,13.664
17.0,1.0,A3,no,57,14.392,14.205
18.0,1.0,G3,no,55,14.854,14.679
19.0,1.0,F#3,no,54,15.399,15.246
20.0,0.5,E3,no,52,15.904,15.743
20.5,0.5,G3,no,55,16.219,15.951
21.0,0.5,F#3,no,54,16.478,16.288
21.5,0.5,A3,no,57,16.768,16.558
22.0,1.0,G3,no,55,17.061,16.886
23.0,1.0,D3,no,50,17.505,17.36
24.0,1.0,D4,no,62,18.06,17.883
25.0,1.0,C4,no,60,18.645,18.437
26.0,1.0,B3,no,59,19.176,18.974
27.0,1.0,G3,no,55,19.704,19.443
28.0,1.0,F#3,no,54,20.209,19.976
29.0,1.0,E3,no,52,20.744,20.52
30.0,1.0,D3,no,50,21.349,21.066
32.0,1.0,A3,no,57,22.495,22.213
33.0,1.0,G3,no,55,23.053,22.825
34.0,1.0,F#3,no,54,23.562,23.247
36.0,1.0,C4,no,60,24.665,24.379
37.0,1.0,B3,no,59,25.223,24.957
38.0,1.0,A3,no,57,25.788,25.52
40.0,1.0,E4,no,64,26.951,26.731
41.0,1.0,D4,no,62,27.452,27.262
42.0,1.0,C4,no,60,27.957,27.736
43.0,1.0,B3,no,59,28.528,28.316
44.0,0.5,A3,no,57,29.052,28.888
44.5,0.5,C4,no,60,29.319,29.216
45.0,0.5,B3,no,59,29.585,29.522
45.5,0.5,D4,no,62,29.857,29.877
46.0,1.5,C4,no,60,30.12,30.289
47.5,0.5,A3,no,57,30.964,31.747
48.0,1.0,B3,no,59,31.329,32.407
49.0,1.0,A3,no,57,31.93,33.001
50.0,1.0,G3,no,55,32.382,33.481
51.0,1.0,F#3,no,54,32.665,34.047
52.0,0.5,E3,no,52,32.954,34.531
52.5,0.5,G3,no,55,33.475,34.765
53.0,0.5,F#3,no,54,34.013,35.106
53.5,0.5,A3,no,57,34.276,35.377
54.0,1.0,G3,no,55,34.572,35.678
55.0,1.0,D3,no,50,35.13,36.166
56.0,1.0,E4,no,64,35.628,36.715
57.0,1.0,D4,no,62,36.226,37.287
58.0,1.0,C4,no,60,36.701,37.752
59.0,1.0,B3,no,59,37.293,38.342
60.0,0.5,F#3,no,54,37.837,38.962
60.5,0.5,C4,no,60,38.193,39.184
61.0,0.5,F#3,no,54,38.382,39.445
61.5,0.5,A3,no,57,38.611,39.685
62.0,1.0,G3,no,55,38.92,39.964
64.0,1.0,A3,no,57,40.116,41.059
65.0,1.0,G3,no,55,40.675,41.626
66.0,1.0,F#3,no,54,41.19,42.176
68.0,1.0,C4,no,60,42.283,43.275
69.0,1.0,B3,no,59,42.814,43.846
70.0,1.0,A3,no,57,43.382,44.378
72.0,1.0,E4,no,64,44.523,45.504
73.0,1.0,D4,no,62,45.083,46.039
74.0,1.0,C4,no,60,45.612,46.546
75.0,1.0,B3,no,59,46.183,47.077
76.0,0.5,A3,no,57,46.685,47.658
76.5,0.5,C4,no,60,46.93,47.959
77.0,0.5,B3,no,59,47.203,48.252
77.5,0.5,D4,no,62,47.482,48.624
78.0,1.5,C4,no,60,47.743,49.036
79.5,0.5,A3,no,57,48.565,50.264
80.0,1.0,B3,no,59,48.871,50.964
81.0,1.0,A3,no,57,49.396,51.58
82.0,1.0,G3,no,55,49.878,52.099
83.0,1.0,F#3,no,54,50.459,52.618
84.0,0.5,E3,no,52,50.967,53.114
84.5,0.5,G3,no,55,51.213,53.398
85.0,0.5,F#3,no,54,51.538,53.699
85.5,0.5,A3,no,57,51.801,53.978
86.0,1.0,G3,no,55,52.103,54.24
87.0,1.0,D3,no,50,52.595,54.754
88.0,1.0,E4,no,64,53.166,55.321
89.0,1.0,D4,no,62,53.698,55.911
90.0,1.0,C4,no,60,54.18,56.461
91.0,1.0,B3,no,59,54.751,57.072
92.0,0.5,F#3,no,54,55.243,57.763
92.5,0.5,C4,no,60,55.522,58.1
93.0,0.5,F#3,no,54,55.804,58.468
93.5,0.5,A3,no,57,56.093,58.924
94.0,1.0,G3,no,55,54.421,59.532
