beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,B3,no,59,3.962,3.962
1.0,1.0,A3,no,57,4.55,4.55
2.0,1.0,G3,no,55,5.104,5.104
3.0,1.0,F#3,no,54,5.678,5.678
4.0,0.5,E3,no,52,6.233,6.233
4.5,0.5,G3,no,55,6.508,6.508
5.0,0.5,F#3,no,54,6.834,6.834
5.5,0.5,A3,no,57,7.064,7.064
6.0,1.0,G3,no,55,7.351,7.351
7.0,1.0,D3,no,50,7.924,7.924
8.0,1.0,D4,no,62,8.492,8.492
9.0,1.0,C4,no,60,9.06,9.06
10.0,1.0,B3,no,59,9.61,9.61
11.0,1.0,G3,no,55,10.171,10.171
12.0,1.0,F#3,no,54,10.709,10.709
13.0,1.0,E3,no,52,11.391,11.391
14.0,1.0,D3,no,50,11.857,11.857
16.0,1.0,B3,no,59,12.985,12.985
17.0,1.0,A3,no,57,13.525,13.525
18.0,1.0,G3,no,55,14.063,14.063
19.0,1.0,F#3,no,54,14.617,14.617
20.0,0.5,E3,no,52,15.13,15.13
20.5,0.5,G3,no,55,15.421,15.421
21.0,0.5,F#3,no,54,15.691,15.691
21.5,0.5,A3,no,57,15.975,15.975
22.0,1.0,G3,no,55,16.231,16.231
23.0,1.0,D3,no,50,16.785,16.785
24.0,1.0,D4,no,62,17.33,17.33
25.0,1.0,C4,no,60,17.884,17.884
26.0,1.0,B3,no,59,18.405,18.405
27.0,1.0,G3,no,55,18.912,18.912
28.0,1.0,F#3,no,54,19.423,19.423
29.0,1.0,E3,no,52,19.996,19.996
30.0,1.0,D3,no,50,20.474,20.474
32.0,1.0,A3,no,57,21.584,21.584
33.0,1.0,G3,no,55,22.143,22.143
34.0,1.0,F#3,no,54,22.687,22.687
36.0,1.0,C4,no,60,23.786,23.786
37.0,1.0,B3,no,59,24.326,24.326
38.0,1.0,A3,no,57,24.854,24.854
40.0,1.0,E4,no,64,25.948,25.948
41.0,1.0,D4,no,62,26.569,26.569
42.0,1.0,C4,no,60,27.119,27.119
43.0,1.0,B3,no,59,27.632,27.632
44.0,0.5,A3,no,57,28.135,28.135
44.5,0.5,C4,no,60,28.396,28.396
45.0,0.5,B3,no,59,28.643,28.643
45.5,0.5,D4,no,62,28.917,28.917
46.0,1.5,C4,no,60,29.228,29.228
47.5,0.5,A3,no,57,30.011,30.011
48.0,1.0,B3,no,59,30.293,30.293
49.0,1.0,A3,no,57,30.84,30.84
50.0,1.0,G3,no,55,31.332,31.332
51.0,1.0,F#3,no,54,31.868,31.868
52.0,0.5,E3,no,52,32.441,32.441
52.5,0.5,G3,no,55,32.705,32.705
53.0,0.5,F#3,no,54,32.963,32.963
53.5,0.5,A3,no,57,33.223,33.223
54.0,1.0,G3,no,55,33.493,33.493
