Serial No.,Note,baseline_beat,rubato_beat,pauses_beat,accelerando_beat,ritardando_beat,sine_wave_tempo_beat
1,76,5.833333333333334,5.5,8.333333333333334,5.826152692617303,5.8405171658220105,5.923353611346013
2,80,6.666666666666667,6.243055555555556,11.666666666666668,6.656986600610756,6.676351035482076,6.788021051601816
3,80,7.500000000000001,7.182291666666667,12.5,7.485961451649875,7.514044373822753,7.675625327964918
4,80,8.333333333333334,8.022569444444445,13.333333333333334,8.314295787267755,8.352378369439943,8.571132211726333
5,78,9.166666666666668,8.736111111111112,14.166666666666668,9.142630122885635,9.190712365057133,9.466639095487748
6,76,9.583333333333334,9.192708333333334,14.583333333333334,9.556797290694574,9.609879362865728,9.914392537368457
7,83,10.0,9.574652777777779,15.000000000000002,9.970964458503513,10.029046360674322,10.362145979249163
8,83,12.5,12.098958333333334,17.5,12.44942332370952,12.550588897267195,13.126796848185615
9,81,12.916666666666668,12.515625000000002,17.916666666666668,12.86234001859216,12.971005681650562,13.589479631018973
10,80,13.333333333333334,12.89236111111111,20.833333333333336,13.275256713474802,13.391422466033926,14.052162413852331
11,80,14.166666666666668,13.605902777777779,21.666666666666668,14.099871622747228,14.233474930406208,14.991376385333119
12,80,15.000000000000002,14.4375,22.5,14.92320556534768,15.076808797850992,15.94514893728511
13,78,15.833333333333334,15.177083333333334,23.333333333333336,15.746539507948128,15.920142665295774,16.8989214892371
14,76,16.25,15.651041666666668,23.75,16.158206479248356,16.341809599018166,17.375807765213096
15,83,16.666666666666668,16.08159722222222,24.16666666666667,16.56987345054858,16.763476532740558,17.852694041189093
16,83,19.166666666666668,18.536458333333336,26.66666666666667,19.033978185609868,19.29937272541838,20.776526684786678
17,81,19.583333333333336,18.901041666666668,27.083333333333336,19.444394889898067,19.72228939560935,21.266667021767965
18,80,20.0,19.366319444444443,30.0,19.854811594186266,20.145206065800323,21.75680735874925
19,81,20.833333333333336,20.265625,30.833333333333336,20.675067158730915,20.99161784997537,22.742682255800023
20,83,21.25,20.69097222222222,31.25,21.084234470518044,21.415785209448725,23.24491821026932
21,81,21.666666666666668,21.060763888888893,31.66666666666667,21.49340178230517,21.839952568922076,23.747154164738618
22,80,22.5,21.930555555555557,32.5,22.31173640587943,22.688287287868786,24.751626073677212
23,78,23.333333333333336,22.880208333333336,33.333333333333336,23.130071029453685,23.53662200681549,25.756097982615806
24,75,24.16666666666667,23.748263888888886,34.16666666666667,23.948150350459873,24.385211815953845,26.762763775827867
25,71,25.0,24.57465277777778,35.0,24.76398405091837,25.23604537759418,27.788726796016768
26,76,25.833333333333336,25.329861111111114,35.833333333333336,25.57981775137687,26.08687893923452,28.814689816205668
27,80,26.66666666666667,26.088541666666664,39.16666666666667,26.39565145183537,26.93771250087486,29.84065283639457
28,80,27.5,26.805555555555557,40.00000000000001,27.211485152293868,27.7885460625152,30.86661585658347
29,80,28.333333333333336,27.678819444444443,40.833333333333336,28.02488112168535,28.641817611530147,31.91057147264499
30,78,29.16666666666667,28.55034722222222,41.66666666666667,28.838214585152038,29.495151673041878,32.954988437318626
31,76,29.583333333333336,28.94097222222222,42.083333333333336,29.244881316885383,29.921818703797744,33.47719691965545
32,83,30.0,29.38715277777778,42.50000000000001,29.651548048618725,30.348485734553613,33.99940540199227
33,83,32.5,31.52604166666667,45.00000000000001,32.08693492007353,32.91310359374038,37.160574633866396
34,81,32.91666666666667,31.920138888888893,45.41666666666667,32.4923519401287,33.341020920112925,37.690345645644264
35,80,33.333333333333336,32.36805555555556,48.333333333333336,32.89776896018387,33.76893824648547,38.22011665742213
36,80,34.16666666666667,33.21527777777778,49.16666666666667,33.708603000294204,34.624772899230564,39.279658680977874
37,80,35.0,33.970486111111114,50.00000000000001,34.517645523761395,35.482398560128836,40.34748362775397
38,78,35.833333333333336,34.71701388888889,50.833333333333336,35.32597977320688,36.34073229401791,41.41858321859392
39,76,36.25,35.15277777777778,51.25000000000001,35.73014689792962,36.76989916096245,41.9541330140139
40,83,36.66666666666667,35.598958333333336,51.66666666666667,36.13431402265236,37.19906602790699,42.48968280943388
41,83,39.16666666666667,38.27256944444445,54.16666666666667,38.55534279747714,39.778041791844075,45.715392010564024
42,81,39.583333333333336,38.673611111111114,54.583333333333336,38.958259917425565,40.208458848755534,46.254845479465615
43,80,40.00000000000001,39.04687500000001,57.50000000000001,39.36117703737399,40.638875905667,46.7942989483672
44,81,40.833333333333336,39.970486111111114,58.333333333333336,40.167011277270845,41.49971001948993,47.87320588617037
45,83,41.25000000000001,40.42881944444445,58.75000000000001,40.56992839721927,41.9301270764014,48.41265935507196
46,81,41.66666666666667,40.83159722222223,59.16666666666667,40.97169443783567,42.36169521312256,48.95392446474585
47,80,42.50000000000001,41.657986111111114,60.00000000000001,41.775028595925406,43.22502940979009,50.03676618793686
48,78,43.333333333333336,42.50347222222223,60.833333333333336,42.57836275401514,44.08836360645762,51.119607911127865
49,76,45.833333333333336,44.845486111111114,63.333333333333336,44.98503188263062,46.681699067500205,54.36813308070088
50,83,46.66666666666667,45.75694444444445,66.66666666666667,45.78586603148006,47.54753291744774,55.45097480389188
51,81,47.50000000000001,46.62500000000001,67.5,46.58670018032951,48.41336676739527,56.53381652708289
52,80,47.91666666666667,47.06076388888889,67.91666666666667,46.987117254754224,48.846283692369035,57.07523738867839
53,81,48.333333333333336,47.486111111111114,68.33333333333333,47.38702395464245,49.27971115604975,57.615854898257204
54,83,49.16666666666667,48.305555555555564,69.16666666666667,48.185358309843764,50.14804560374562,58.69476183606038
55,85,50.00000000000001,49.04687500000001,70.0,48.98369266504507,51.016380051441494,59.773668773863555
56,83,50.833333333333336,49.8125,70.83333333333333,49.78202702024638,51.884714499137374,60.852575711666724
57,76,52.50000000000001,51.28645833333334,72.5,51.37600747434939,53.624070804363264,63.001996689287616
58,83,53.333333333333336,52.17881944444445,75.83333333333333,52.17184112601619,54.494905168183934,64.07309628012757
59,81,54.16666666666667,52.970486111111114,76.66666666666667,52.96767477768298,55.365739532004596,65.14419587096752
60,80,54.583333333333336,53.44791666666667,77.08333333333333,53.36559160351638,55.80115671391493,65.6797456663875
61,81,55.00000000000001,53.88541666666667,77.5,53.76350842934978,56.23657389582526,66.21529546180749
62,83,55.833333333333336,54.83506944444445,78.33333333333333,54.556972107918554,57.109777195914084,67.27543944199262
63,85,56.66666666666667,55.72222222222223,79.16666666666667,55.35030556818524,57.983110657336326,68.33498146554835
64,83,57.50000000000001,56.439236111111114,80.0,56.14363902845193,58.85644411875857,69.39452348910409
65,76,59.16666666666667,58.07465277777778,81.66666666666667,57.72825944920512,60.6051589064871,71.50122389425586
66,85,60.00000000000001,58.848958333333336,85.0,58.51909336775555,61.48099357692803,72.54564085892949
67,83,60.833333333333336,59.65798611111112,85.83333333333333,59.309927286305985,62.35682824736896,73.59005782360313
68,81,62.50000000000001,61.486111111111114,87.5,60.88986595727815,64.11022685678493,75.66612777468181
69,80,63.333333333333336,62.361111111111114,88.33333333333333,61.678199876606364,64.98856167450411,76.69209079487071
70,78,64.16666666666667,63.07638888888889,89.16666666666667,62.46653379593457,65.86689649222329,77.7180538150596
71,76,64.58333333333333,63.55381944444445,89.58333333333333,62.86070075559868,66.30606390108288,78.23103532515407
72,78,65.0,63.92881944444445,90.0,63.25486771526279,66.74523130994247,78.74401683524852
73,76,66.66666666666667,65.65972222222223,94.16666666666667,64.82762883647295,68.50580554582862,80.7623630142977
74,76,69.16666666666667,67.890625,96.66666666666667,67.1840467032428,71.14939047703295,83.76529587262388
75,83,70.0,68.81770833333333,97.5,67.96738110713315,72.03272495870111,84.74557654658645
76,81,70.83333333333333,69.66840277777779,98.33333333333333,68.7507155110235,72.91605944036927,85.72585722054902
77,80,71.25,70.04513888888889,98.75,69.14238271296867,73.35772668120335,86.2159975575303
