Serial No.,Note,baseline_beat,rubato_beat,pauses_beat,accelerando_beat,ritardando_beat,sine_wave_tempo_beat
1,57,0.0,0.0,2.5,0.0,0.0,0.0
2,59,0.8333333333333334,0.9444444444444444,3.3333333333333335,0.8333333333333334,0.8333333333333334,0.8333333333333334
3,60,1.6666666666666667,1.7934027777777777,4.166666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
4,62,2.5,2.713541666666667,5.0,2.5,2.5,2.5
5,64,3.3333333333333335,3.4375,5.833333333333334,3.331036986302318,3.3356307010835193,3.3621215440683527
6,60,4.166666666666667,4.298611111111112,6.666666666666667,4.161870894295771,4.171464570743586,4.2267889843241555
7,64,5.0,5.243055555555556,7.5,4.992704802289225,5.007298440403652,5.09145642457996
8,63,6.666666666666667,7.102430555555556,11.666666666666668,6.649779654036014,6.683560161169999,6.877458782533129
9,59,7.5,8.039930555555557,12.5,7.4781139896538935,7.521894156787189,7.772965666294544
10,63,8.333333333333334,8.883680555555555,13.333333333333334,8.304562195274606,8.362113247154658,8.690990972659542
11,62,10.0,10.387152777777779,15.0,9.95622897480517,10.043780384688123,10.541722103992974
12,58,10.833333333333334,11.234375,15.833333333333334,10.780380444915783,10.886296446106961,11.486203204180823
13,62,11.666666666666668,12.126736111111112,16.666666666666668,11.603714387516234,11.729630313551743,12.439975756132814
14,57,13.333333333333334,13.916666666666666,20.833333333333336,13.248902790086236,13.417776903262462,14.363204832226387
15,59,14.166666666666668,14.697916666666666,21.666666666666668,14.069736198662632,14.263610243644408,15.343485506188955
16,60,15.0,15.56076388888889,22.5,14.890569607239028,15.109443584026351,16.323766180151527
17,62,15.833333333333334,16.35763888888889,23.333333333333336,15.710132800106004,15.95654845851205,17.316344065226907
18,64,16.666666666666668,17.31423611111111,24.166666666666668,16.52846742368026,16.804883177458755,18.3208159741655
19,60,17.5,18.26388888888889,25.0,17.346802047254517,17.653217896405465,19.325287883104096
20,64,18.333333333333336,19.019097222222225,25.833333333333336,18.164068568248084,18.502619829419242,20.33893828747251
21,69,19.166666666666668,19.803819444444446,26.666666666666668,18.979902268706585,19.35345339105958,21.36490130766141
22,67,20.0,20.515625,30.0,19.795735969165083,20.20428695269992,22.39086432785031
23,64,20.833333333333336,21.34375,30.833333333333336,20.61071021315765,21.05598006117105,23.42317089145584
24,60,21.666666666666668,22.062500000000004,31.666666666666668,21.424043676624336,21.909314122682783,24.46758785612948
25,64,22.5,22.821180555555557,32.5,22.237377140091024,22.762648184194514,25.51200482080312
26,67,23.333333333333336,23.664930555555557,33.333333333333336,23.050054504926667,23.616638650905003,26.560392113433313
27,57,26.666666666666668,26.871527777777775,39.16666666666667,26.29043778764516,27.042929301486694,30.81221258401075
28,59,27.5,27.791666666666668,40.0,27.098772037090644,27.90126303537577,31.883312174850705
29,60,28.333333333333336,28.538194444444443,40.833333333333336,27.90686149393449,28.75984159813337,32.95517623508081
30,62,29.166666666666668,29.32465277777778,41.66666666666667,28.712695733831342,29.6206757119563,34.03408317288398
31,64,30.0,30.10590277777778,42.5,29.518529973728196,30.48150982577923,35.11299011068716
32,60,30.833333333333336,30.979166666666664,43.333333333333336,30.32432254559493,31.342385607649568,36.19196262824679
33,64,31.666666666666668,31.835069444444446,44.16666666666667,31.127656703684664,32.2057198043171,37.2748043514378
34,63,33.333333333333336,33.71527777777778,48.333333333333336,32.73432501986414,33.93238819765216,39.440487797819806
35,59,34.16666666666667,34.66840277777778,49.16666666666667,33.535320627643685,34.79806061165869,40.523329521010815
36,63,35.0,35.39409722222223,50.0,34.336154776493125,35.66389446160622,41.60617124420182
37,62,36.66666666666667,37.11979166666667,51.66666666666667,35.935693041687664,37.397692879166016,43.76850192553461
38,58,37.5,37.90104166666667,52.5,36.73402739688897,38.26602732686189,44.84740886333778
39,62,38.333333333333336,38.64756944444444,53.333333333333336,37.532361752090274,39.13436177455777,45.92631580114095
40,57,40.0,40.24826388888889,57.5,39.12460213331719,40.875457604753834,48.07030416649994
41,59,40.833333333333336,41.076388888888886,58.333333333333336,39.92043578498399,41.746291968574496,49.141403757339894
42,60,41.66666666666667,41.90972222222222,59.16666666666667,40.714550555063205,42.61884446199624,50.204557520671955
43,62,42.5,42.697916666666664,60.0,41.50788401532989,43.49217792341848,51.26409954422769
44,64,43.333333333333336,43.50694444444445,60.833333333333336,42.30121747559658,44.36551138484072,52.323641567783426
45,60,44.16666666666667,44.28819444444445,61.66666666666667,43.09303558869779,45.240361204230545,53.37401402439189
46,64,45.0,45.083333333333336,62.5,43.88386950724822,46.116195874671476,54.418430989065534
47,69,45.833333333333336,45.82986111111111,63.333333333333336,44.674703425798654,46.99203054511241,55.46284795373917
48,67,46.66666666666667,46.64756944444444,66.66666666666667,45.46422484475742,47.86917779287442,56.49757659755832
49,64,47.5,47.50694444444444,67.5,46.252558764085634,48.74751261059359,57.523539617747225
50,60,48.333333333333336,48.38888888888889,68.33333333333334,47.040892683413844,49.62584742831277,58.54950263793612
51,64,49.16666666666667,49.31944444444444,69.16666666666667,47.828122303943914,50.50528594642518,59.56597375065614
52,67,50.0,50.067708333333336,70.0,48.61395592410652,51.38611970843095,60.57044565959473
53,64,53.333333333333336,53.77777777777778,75.83333333333334,51.751391213014315,54.91535749682378,64.53123190112446
54,64,54.16666666666667,54.657986111111114,76.66666666666667,52.53402757685033,55.799389689986256,65.50411239102574
55,64,55.0,55.60763888888889,77.5,53.314861538755004,56.68522343670867,66.45788494297773
56,64,55.833333333333336,56.36111111111112,78.33333333333334,54.09569550065967,57.57105718343109,67.41165749492973
57,64,56.66666666666667,57.21527777777778,79.16666666666667,54.876039824218374,58.45738067434355,68.35986701206751
58,64,57.5,58.098958333333336,80.0,55.65437350520742,59.34571524246193,69.28523257773423
59,64,58.333333333333336,58.869791666666664,80.83333333333334,56.43270718619646,60.234049810580316,70.21059814340094
60,64,59.16666666666667,59.80902777777778,81.66666666666667,57.210754412280124,61.12267073501513,71.13254240176602
61,64,60.0,60.72395833333334,85.0,57.98658812318587,62.013504412804146,72.02804928552743
62,64,60.833333333333336,61.592013888888886,85.83333333333334,58.762421834091604,62.90433809059317,72.92355616928886
63,64,61.66666666666667,62.46006944444445,86.66666666666667,59.538177435264906,63.79524990718464,73.81809932044071
64,64,62.5,63.38194444444445,87.5,60.31151163473254,64.688584026652,74.68276676069651
65,64,63.333333333333336,64.20486111111111,88.33333333333334,61.08484583420018,65.58191814611935,75.54743420095232
66,64,64.16666666666667,65.02083333333334,89.16666666666667,61.858180033667814,66.47525226558672,76.41210164120812
67,64,65.0,65.85590277777779,90.0,62.629139142600266,67.37096145380912,77.24700167988759
68,64,65.83333333333334,66.6232638888889,90.83333333333334,63.3999732467677,68.26679564565022,78.08033501322092
69,64,66.66666666666667,67.52951388888889,94.16666666666667,64.17080735093514,69.16262983749132,78.91366834655425
70,64,67.5,68.33506944444444,95.0,64.93946913516201,70.06063553831183,79.71978128967957
71,64,68.33333333333334,69.234375,95.83333333333334,65.70780272716766,70.95896930883427,80.5217817997519
72,64,69.16666666666667,70.10243055555556,96.66666666666667,66.4761363191733,71.8573030793567,81.32378230982422
73,64,70.0,70.84027777777779,97.5,67.24250669065317,72.75760084885866,82.1015609897593
74,64,70.83333333333334,71.79340277777779,98.33333333333334,68.00834069153848,73.65843520163621,82.8727220344049
75,64,71.66666666666667,72.64756944444444,99.16666666666667,68.77417469242378,74.55926955441375,83.64388307905051
76,64,72.5,73.54861111111111,100.0,69.53824849100981,75.4618642208939,84.39401910703485
77,64,73.33333333333334,74.26388888888889,103.33333333333334,70.30158279632215,76.36519842745031,85.13532213985381
78,64,74.16666666666667,75.06944444444444,104.16666666666667,71.0649171016345,77.2685326340067,85.87662517267279
79,64,75.0,75.93402777777779,105.0,71.82669882881724,78.17341931999519,86.6002919043721
80,64,75.83333333333334,76.85243055555556,105.83333333333334,72.58753233714228,79.07925416456298,87.31318747230036
81,64,76.66666666666667,77.60763888888889,106.66666666666667,73.34836584546731,79.98508900913079,88.02608304022861
82,64,80.0,80.96701388888889,112.5,76.38170706587003,83.61842211475216,90.77274914234405
83,64,80.83333333333334,81.70486111111111,113.33333333333334,77.13754096985797,84.5292568583613,91.43494641885908
84,64,81.66666666666667,82.52777777777779,114.16666666666667,77.8933748738459,85.44009160197042,92.09714369537413
85,64,82.5,83.32291666666667,115.0,78.6482714103721,86.35186347655953,92.75128147633909
