Serial No.,Note,baseline_beat,rubato_beat,pauses_beat,accelerando_beat,ritardando_beat,sine_wave_tempo_beat
1,69,26.666666666666668,22.960069444444443,29.166666666666668,26.497748284799886,26.83561109547613,28.72706902887159
2,74,30.0,26.61111111111111,32.5,29.78108191910547,30.218944457003907,32.64819172472186
3,72,33.333333333333336,29.98263888888889,38.333333333333336,33.056851522977496,33.609849699895435,36.642543304780816
4,69,36.66666666666667,33.51215277777778,41.66666666666667,36.328027760830686,37.0053490334278,40.67901179713702
5,68,40.0,36.36284722222222,47.5,39.59136256266468,40.408683279989155,44.78286387789262
6,69,43.333333333333336,39.692708333333336,50.833333333333336,42.847941515793714,43.81877408557801,48.9365800544747
7,71,45.0,41.375,52.5,44.47460844272709,45.525442208601476,51.02541398382198
8,72,46.66666666666667,43.07291666666667,56.66666666666667,46.099926722474436,47.23345960897794,53.12240914285773
9,74,50.833333333333336,46.72743055555556,60.833333333333336,50.15409692302613,51.512632872703385,58.42011926063642
10,72,51.66666666666667,47.50347222222223,61.66666666666667,50.96398833373993,52.36940988729652,59.48401945018892
11,70,52.5,48.30729166666667,62.5,51.77232258318541,53.227743621185596,60.555119041028874
12,69,53.333333333333336,49.14756944444444,65.83333333333334,52.58065683263089,54.08607735507467,61.62621863186883
13,62,54.16666666666667,49.87847222222222,66.66666666666667,53.38899108207637,54.94441108896375,62.69731822270879
14,74,55.0,50.65451388888889,67.5,54.19732533152186,55.80274482285282,63.768417813548744
15,73,58.333333333333336,53.93402777777778,70.83333333333334,57.42512584982422,59.241617058137635,68.07010619737086
16,74,60.0,55.44444444444444,75.0,59.03679432961792,60.9632852857835,70.2279200729772
17,69,60.833333333333336,56.31944444444444,75.83333333333334,59.84262856951477,61.824119399606424,71.30682701078038
18,72,61.66666666666667,57.13715277777778,76.66666666666667,60.64833259681751,62.685083726077515,72.3859388853225
19,69,64.16666666666667,59.84375,79.16666666666667,63.05833507108672,65.2750863160801,75.63446405489552
20,70,65.0,60.62847222222222,80.0,63.86166922917646,66.13842051274763,76.71730577808651
21,64,67.5,63.29861111111111,82.5,66.26944773689232,68.73064675264722,79.96583094765953
22,69,68.33333333333334,64.21006944444444,83.33333333333334,67.07028188574176,69.59648060259475,81.04867267085054
23,72,74.16666666666667,70.25173611111111,89.16666666666667,72.66930378209324,75.66413689067035,88.61783424553617
24,71,75.83333333333334,71.83680555555556,90.83333333333334,74.26597249249586,77.40080578606211,90.77564812114252
25,72,76.66666666666667,72.6875,91.66666666666667,75.06430684769717,78.26914023375798,91.85455505894569
26,62,80.83333333333334,76.59201388888889,95.83333333333334,79.04456395402846,82.6222235477153,97.2134524621357
27,72,81.66666666666667,77.375,96.66666666666667,79.84039760569526,83.49305791153597,98.28455205297567
28,69,84.16666666666667,80.13368055555556,99.16666666666667,82.22189289260331,86.11156404369508,101.47008858574823
