Serial No.,Note,baseline_beat,rubato_beat,pauses_beat,accelerando_beat,ritardando_beat,sine_wave_tempo_beat
1,81,0.0,0.0,1.5,0.0,0.0,0.0
2,69,1.5,1.5739583333333333,3.0,1.4991968822064408,1.5008033870674389,1.5100659857758796
3,67,2.0,2.1458333333333335,3.5,1.9976968956659409,2.0023038765319168,2.0288662704934755
4,66,2.75,2.826041666666667,4.25,2.744593844256564,2.755407683350078,2.8175906502565624
5,71,3.0,3.103125,4.5,2.9930938979325754,3.006907882035235,3.0862426191531123
6,71,4.5,4.486458333333333,6.0,4.48169150170592,4.518311788836174,4.7268554111142445
7,73,5.0,4.932291666666667,6.5,4.976988738513461,5.023015056249423,5.284382225973614
8,76,5.5,5.490625,7.0,5.470989104073731,5.529015206025468,5.856645320497743
9,76,6.0,6.0375,7.5,5.964989469634002,6.035015355801512,6.428908415021872
10,74,6.5,6.507291666666666,8.0,6.4579866040568366,6.5420187628975635,7.011808031278025
11,73,7.0,7.058333333333334,8.5,6.9504868109069236,7.049519110535302,7.599976205027609
12,71,7.5,7.603125,9.0,7.442683942439668,7.557322541310731,8.19107751475469
13,69,8.0,8.047916666666667,9.5,7.933684395142086,8.06632268179477,8.793760175815605
14,67,8.75,8.772916666666667,11.75,8.669828768994224,8.830179224216296,9.700846585787527
15,69,9.0,9.048958333333333,12.0,8.914578879131774,9.085429466448776,10.008635112908621
16,62,10.5,10.504166666666666,13.5,10.381173109250817,10.61883688731094,11.869437706041131
17,66,11.0,11.017708333333333,14.0,10.869173187330828,11.130837149455074,12.49608736125849
18,69,11.5,11.471875,14.5,11.355967039865158,11.644043804681159,13.130034845102992
19,71,12.0,11.921875,16.5,11.84246714835468,12.157544244751037,13.765759520374829
20,74,13.5,13.528125,18.0,13.29846188851661,13.701551761386245,15.689141719461148
21,71,14.0,13.998958333333333,18.5,13.782155755785356,14.217858163321408,16.335880427209815
22,69,14.5,14.479166666666666,19.0,14.265655832178368,14.734358275918432,16.983224310522196
23,67,14.75,14.708333333333334,19.25,14.507405870374875,14.992608332216943,17.306896252178387
24,69,15.0,14.969791666666667,19.5,14.7485497025023,15.251464802366034,17.631522150992474
25,71,17.0,16.941666666666666,21.5,16.673641359376216,17.3263761948434,20.230338909722224
26,69,17.5,17.485416666666666,22.0,17.153432234096037,17.846586058676575,20.878926871183825
27,67,17.75,17.716666666666665,22.25,17.39293231121506,18.107086302504804,21.202598812840016
28,69,18.0,17.940625,22.5,17.632432388334085,18.367586546333033,21.526270754496206
29,66,18.5,18.496875,23.0,18.1114231678019,18.888596408668434,22.173585355120018
30,64,19.0,18.970833333333335,23.5,18.588923358801974,19.4110968449563,22.81624400826172
31,62,20.0,19.841666666666665,24.5,19.54311430383634,20.456906997358306,24.09781985565284
32,59,21.0,20.936458333333334,25.5,20.49500510120628,21.505016904865673,25.368607485984207
33,62,22.5,22.592708333333334,27.0,21.917596689456065,23.082427522102993,27.24184368729509
34,66,23.0,23.111458333333335,27.5,22.390596891900152,23.609427857275204,27.85742074153728
35,69,23.5,23.627083333333335,28.0,22.863384590045147,24.136640707781368,28.471171090078784
36,71,24.0,24.14375,30.0,23.33488476214271,24.66514115119324,29.073853751139698
