Serial No.,Note,baseline_beat,rubato_beat,pauses_beat,accelerando_beat,ritardando_beat,sine_wave_tempo_beat
1,62,3.3333333333333335,2.947916666666667,5.833333333333334,,,
2,64,5.0,4.633680555555555,7.5,,,
3,65,6.666666666666667,6.229166666666667,11.666666666666668,,,
4,67,8.333333333333334,7.967013888888889,13.333333333333334,,,
5,69,10.0,9.880208333333334,15.000000000000002,,,
6,65,11.666666666666668,11.416666666666668,16.666666666666668,,,
7,64,13.333333333333334,13.295138888888891,20.833333333333332,,,
8,62,15.000000000000002,15.012152777777779,22.5,,,
9,65,18.333333333333332,18.383680555555554,25.833333333333332,,,
10,64,19.166666666666668,19.336805555555554,26.666666666666668,,,
11,62,20.0,20.24826388888889,30.0,,,
12,62,23.333333333333332,23.75173611111111,33.333333333333336,,,
13,64,25.0,25.60590277777778,35.0,,,
14,65,26.666666666666668,27.380208333333332,39.16666666666667,,,
15,67,28.333333333333332,29.286458333333332,40.833333333333336,,,
16,69,30.0,31.04861111111111,42.50000000000001,,,
17,65,31.666666666666668,32.94791666666667,44.16666666666667,,,
18,64,33.333333333333336,34.390625,48.333333333333336,,,
19,62,35.0,35.993055555555564,50.00000000000001,,,
20,64,40.00000000000001,41.34375,57.50000000000001,,,
21,67,45.00000000000001,46.06944444444445,62.500000000000014,,,
22,65,46.66666666666667,47.828125,66.66666666666667,,,
23,62,48.333333333333336,49.57638888888889,68.33333333333334,,,
24,60,50.00000000000001,51.08333333333334,70.00000000000001,,,
25,62,53.33333333333334,54.72569444444446,73.33333333333334,,,
26,64,55.00000000000001,56.5607638888889,75.00000000000001,,,
27,65,56.66666666666668,58.02604166666668,76.66666666666669,,,
28,67,58.33333333333334,59.696180555555564,78.33333333333334,,,
29,69,60.00000000000001,61.315972222222236,82.50000000000001,,,
30,65,61.66666666666668,62.90798611111112,84.16666666666669,,,
31,64,63.33333333333334,64.65798611111111,85.83333333333334,,,
32,62,65.00000000000001,66.4982638888889,87.50000000000001,,,
33,65,68.33333333333334,70.12152777777779,90.83333333333334,,,
34,64,69.16666666666667,70.95486111111111,91.66666666666669,,,
35,62,70.00000000000001,71.71354166666667,92.50000000000001,,,
36,62,73.33333333333334,74.95659722222223,95.83333333333334,,,
37,64,75.00000000000001,76.6701388888889,97.50000000000001,,,
38,65,76.66666666666669,78.51215277777779,99.16666666666667,,,
39,67,78.33333333333334,80.23784722222223,100.83333333333334,,,
40,69,80.00000000000001,81.83159722222223,105.00000000000003,,,
41,65,81.66666666666669,83.63715277777779,106.6666666666667,,,
42,64,83.33333333333334,85.53298611111111,108.33333333333336,,,
43,62,85.00000000000001,87.23611111111111,110.00000000000003,,,
44,64,90.00000000000001,91.6857638888889,115.00000000000003,,,
45,67,95.00000000000001,96.09895833333334,120.00000000000003,,,
46,65,96.66666666666669,97.52604166666669,121.6666666666667,,,
47,62,98.33333333333334,99.06597222222223,123.33333333333337,,,
48,60,100.00000000000001,100.4982638888889,127.50000000000003,,,
49,86,116.6666666666667,115.5572916666667,144.16666666666669,,,
50,86,118.33333333333336,117.11631944444447,145.83333333333337,,,
51,88,120.00000000000003,118.81770833333336,150.00000000000003,,,
52,86,121.6666666666667,120.34548611111114,151.66666666666669,,,
53,86,136.66666666666669,136.39409722222226,166.66666666666669,,,
54,84,138.33333333333337,138.08506944444449,168.33333333333337,,,
55,84,141.66666666666669,141.3576388888889,174.16666666666669,,,
56,83,143.33333333333337,143.15972222222226,175.83333333333337,,,
57,83,146.66666666666669,146.51562500000003,179.16666666666669,,,
58,81,148.33333333333337,148.22048611111114,180.83333333333337,,,
59,81,151.66666666666669,151.55034722222226,184.16666666666669,,,
60,79,153.33333333333337,153.39409722222226,188.33333333333337,,,
61,79,155.00000000000003,154.9809027777778,190.00000000000003,,,
62,81,155.22222222222226,155.20486111111114,190.22222222222226,,,
63,79,155.44270833333337,155.4201388888889,190.44270833333337,,,
64,81,155.6649305555556,155.65625000000003,190.6649305555556,,,
65,78,155.83333333333337,155.80381944444446,190.83333333333337,,,
66,79,156.25000000000003,156.22048611111114,191.25000000000003,,,
67,81,156.66666666666669,156.67708333333337,191.66666666666669,,,
68,78,158.33333333333337,158.43055555555557,193.33333333333337,,,
69,79,160.00000000000003,160.11111111111114,195.00000000000003,,,
70,73,168.33333333333337,168.3263888888889,203.33333333333337,,,
71,74,170.00000000000003,170.11111111111114,205.00000000000003,,,
72,77,170.83333333333337,170.9826388888889,205.83333333333337,,,
73,81,171.66666666666669,171.75173611111114,206.66666666666669,,,
74,79,176.66666666666669,176.09375000000003,211.66666666666669,,,
75,77,177.50000000000003,177.05034722222223,212.50000000000003,,,
76,76,178.33333333333337,177.7899305555556,213.33333333333337,,,
77,74,179.16666666666669,178.65972222222226,214.16666666666669,,,
78,72,180.00000000000003,179.51736111111114,217.50000000000003,,,
79,76,180.83333333333337,180.35416666666669,218.33333333333337,,,
80,79,181.66666666666669,181.15625000000003,219.16666666666669,,,
81,79,186.66666666666669,185.54340277777783,226.66666666666669,,,
82,77,187.50000000000003,186.47395833333337,227.50000000000003,,,
83,76,188.33333333333337,187.29166666666669,228.33333333333337,,,
84,74,189.16666666666669,188.13541666666669,229.16666666666669,,,
85,71,190.00000000000003,189.0920138888889,230.00000000000003,,,
86,74,190.83333333333337,189.9670138888889,230.83333333333337,,,
87,77,191.66666666666669,190.70486111111114,231.66666666666669,,,
88,76,196.66666666666669,195.95312500000003,236.6666666666667,,,
89,77,196.90104166666669,196.19097222222223,236.9010416666667,,,
90,76,197.14236111111114,196.41319444444449,237.14236111111114,,,
91,77,197.36284722222223,196.64062500000003,237.36284722222226,,,
92,76,197.58506944444449,196.86458333333337,237.58506944444449,,,
93,77,197.8055555555556,197.0868055555556,237.8055555555556,,,
94,76,198.0138888888889,197.29166666666669,238.01388888888894,,,
95,77,198.21006944444449,197.47222222222226,238.21006944444449,,,
96,76,198.41840277777783,197.67187500000003,238.4184027777778,,,
97,77,198.6388888888889,197.88541666666669,238.63888888888894,,,
98,76,198.75000000000003,197.99479166666669,238.75000000000003,,,
99,74,199.16666666666669,198.3993055555556,239.1666666666667,,,
100,76,199.58333333333337,198.83854166666669,239.58333333333337,,,
101,74,200.00000000000003,199.20312500000003,242.50000000000003,,,
102,74,223.33333333333337,220.39583333333337,265.83333333333337,,,
103,76,225.00000000000003,222.25000000000003,267.5,,,
104,77,226.66666666666669,223.67187500000003,271.66666666666674,,,
105,79,228.33333333333337,225.28819444444446,273.33333333333337,,,
106,81,230.00000000000003,226.7326388888889,275.0,,,
107,77,231.66666666666669,228.5243055555556,276.66666666666674,,,
108,76,233.33333333333337,230.16145833333337,280.83333333333337,,,
109,74,235.00000000000003,231.97916666666669,282.5,,,
110,76,240.00000000000003,237.12326388888894,290.0,,,
111,79,245.00000000000003,241.76388888888894,295.0,,,
112,77,246.6666666666667,243.61284722222226,299.1666666666667,,,
113,74,248.33333333333337,245.36284722222226,300.8333333333333,,,
114,72,250.00000000000003,246.85937500000003,302.5,,,
115,62,253.33333333333337,250.4513888888889,305.8333333333333,,,
116,64,255.00000000000003,252.31423611111114,307.5,,,
117,65,256.66666666666674,254.19097222222226,309.1666666666667,,,
118,67,258.33333333333337,255.73784722222226,310.8333333333333,,,
119,69,260.0,257.20312500000006,315.0,,,
120,65,261.66666666666674,258.7951388888889,316.6666666666667,,,
121,64,263.33333333333337,260.48958333333337,318.3333333333333,,,
122,62,265.0,262.0972222222223,320.0,,,
123,65,268.33333333333337,265.17361111111114,323.3333333333333,,,
124,64,269.16666666666674,266.11458333333337,324.1666666666667,,,
125,62,270.0,267.05729166666674,325.0,,,
126,62,273.33333333333337,270.2274305555556,330.8333333333333,,,
127,61,275.0,271.8628472222223,332.5,,,
128,62,276.66666666666674,273.45486111111114,334.1666666666667,,,
129,64,278.33333333333337,275.3524305555556,335.8333333333333,,,
130,67,280.0,276.89062500000006,340.0,,,
131,65,281.66666666666674,278.75868055555554,341.6666666666667,,,
132,62,283.33333333333337,280.6701388888889,343.3333333333333,,,
133,60,285.0,282.57986111111114,345.0,,,
134,64,288.33333333333337,285.92708333333337,348.3333333333333,,,
135,62,289.16666666666674,286.8090277777778,349.1666666666667,,,
136,60,290.0,287.6232638888889,350.0,,,
137,86,306.6666666666667,304.96006944444446,366.6666666666667,,,
138,86,308.3333333333333,306.7517361111111,368.33333333333337,,,
139,88,310.0,308.46875,370.0,,,
140,86,311.6666666666667,310.11284722222223,371.6666666666667,,,
141,86,326.6666666666667,324.79340277777777,389.1666666666667,,,
142,84,328.3333333333333,326.51909722222223,390.83333333333337,,,
143,84,331.6666666666667,329.84375,394.1666666666667,,,
144,83,333.3333333333333,331.4826388888889,398.33333333333337,,,
145,83,336.6666666666667,334.4270833333333,401.6666666666667,,,
146,81,338.3333333333333,336.25,403.33333333333337,,,
147,81,341.6666666666667,339.5208333333333,409.1666666666667,,,
148,79,343.3333333333333,341.2638888888889,410.83333333333337,,,
149,79,345.0,342.8263888888889,412.5,,,
150,81,345.22222222222223,343.0486111111111,412.72222222222223,,,
151,79,345.4427083333333,343.29340277777777,412.94270833333337,,,
152,81,345.66493055555554,343.49131944444446,413.16493055555554,,,
153,78,345.8333333333333,343.66319444444446,413.33333333333337,,,
154,79,346.25,344.0295138888889,413.75,,,
155,81,346.6666666666667,344.4479166666667,416.6666666666667,,,
156,78,348.3333333333333,346.28993055555554,418.33333333333337,,,
157,79,350.0,348.0364583333333,420.0,,,
158,73,358.3333333333333,356.47222222222223,428.33333333333337,,,
159,74,360.0,358.21875,432.5,,,
160,77,360.83333333333337,359.1458333333333,433.33333333333337,,,
161,81,361.6666666666667,359.8854166666667,434.1666666666667,,,
162,79,366.6666666666667,365.3177083333333,441.6666666666667,,,
163,77,367.5,366.05034722222223,442.5,,,
164,76,368.33333333333337,366.99652777777777,443.33333333333337,,,
165,74,369.1666666666667,367.875,444.1666666666667,,,
166,72,370.0,368.74305555555554,445.0,,,
167,76,370.83333333333337,369.5017361111111,445.83333333333337,,,
168,79,371.6666666666667,370.26909722222223,446.6666666666667,,,
169,79,376.6666666666667,375.609375,451.6666666666667,,,
170,77,377.5,376.53819444444446,452.5,,,
