,live_time,estimated_time,accompanist_time
0,0.0,0.0,0.192
1,0.256,0.256,0.448
2,0.512,0.256,0.704
3,0.768,0.256,0.96
4,1.024,1.024,1.216
5,1.28,1.28,1.472
6,1.536,1.536,1.728
7,1.792,1.792,1.984
8,2.048,2.048,2.24
9,2.304,2.304,2.496
10,2.56,2.56,2.752
11,2.816,2.816,3.008
12,3.072,3.072,3.264
13,3.328,3.328,3.52
14,3.584,3.584,3.776
15,3.84,3.84,4.032
16,4.096,4.096,4.288
17,4.352,4.352,4.544
18,4.608,4.608,4.8
19,4.864,4.864,5.056
20,5.12,5.12,5.312
21,5.376,5.376,5.568
22,5.632,5.632,5.824
23,5.888,5.888,6.08
24,6.144,6.144,6.336
25,6.4,6.4,6.592
26,6.656,6.656,6.848
27,6.912,6.912,7.104
28,7.168,7.168,7.36
29,7.424,7.424,7.616
30,7.68,8.448,7.872
31,7.936,9.216,8.128
32,8.192,9.216,8.384
33,8.448,9.216,8.64
34,8.704,9.216,8.896
35,8.96,9.216,9.152
36,9.216,9.216,9.408
37,9.472,9.472,9.664
38,9.728,9.728,9.92
39,9.984,9.728,10.176
40,10.24,9.984,10.432
41,10.496,10.496,10.688
42,10.752,10.752,10.944
43,11.008,11.008,11.2
44,11.264,11.264,11.456
45,11.52,11.52,11.712
46,11.776,11.776,11.968
47,12.032,12.032,12.224
48,12.288,12.288,12.48
49,12.544,12.288,12.736
50,12.8,12.288,12.992
51,13.056,12.288,13.248
52,13.312,13.312,13.504
53,13.568,13.568,13.76
54,13.824,14.08,14.016
55,14.08,14.336,14.272
56,14.336,14.592,14.528
57,14.592,14.848,14.784
58,14.848,15.104,15.04
59,15.104,15.36,15.296
60,15.36,16.384,15.552
61,15.616,16.384,15.808
62,15.872,16.384,16.064
63,16.128,16.384,16.32
64,16.384,16.64,16.576
65,16.64,16.64,16.832
66,16.896,16.64,17.088
67,17.152,16.64,17.344
68,17.408,16.64,17.6
69,17.664,16.64,17.856
70,17.92,16.64,18.112
71,18.176,16.64,18.368
72,18.432,16.64,18.624
73,18.688,16.64,18.88
74,18.944,16.64,19.136
75,19.2,16.64,19.392
76,19.456,16.64,19.648
77,19.712,16.64,19.904
78,19.968,19.968,20.16
79,20.224,19.968,20.416
80,20.48,20.992,20.672
81,20.736,21.248,20.928
82,20.992,21.504,21.184
83,21.248,21.76,21.44
84,21.504,22.016,21.696
85,21.76,22.272,21.952
86,22.016,22.528,22.208
87,22.272,23.04,22.464
88,22.528,23.296,22.72
89,22.784,23.552,22.976
90,23.04,23.808,23.232
91,23.296,24.064,23.488
92,23.552,24.32,23.744
93,23.808,24.32,24.0
94,24.064,24.32,24.256
95,24.32,24.32,24.512
96,24.576,24.32,24.768
97,24.832,24.32,25.024
98,25.088,24.32,25.28
99,25.344,24.32,25.536
100,25.6,24.32,25.792
101,25.856,24.32,26.048
102,26.112,24.32,26.304
103,26.368,24.32,26.56
104,26.624,24.32,26.816
105,26.88,24.32,27.072
106,27.136,24.32,27.328
107,27.392,24.32,27.584
108,27.648,24.32,27.84
109,27.904,24.32,28.096
110,28.16,24.576,28.352
111,28.416,24.576,28.608
112,28.672,24.832,28.864
113,28.928,25.088,29.12
114,29.184,28.416,29.376
115,29.44,28.416,29.632
116,29.696,28.416,29.888
117,29.952,28.416,30.144
118,30.208,28.416,30.4
119,30.464,28.416,30.656
120,30.72,28.416,30.912
121,30.976,32.0,31.168
122,31.232,32.256,31.424
123,31.488,32.256,31.68
124,31.744,32.256,31.936
125,32.0,33.024,32.192
126,32.256,33.28,32.448
127,32.512,33.536,32.704
128,32.768,33.792,32.96
129,33.024,34.048,33.216
130,33.28,36.352,33.472
131,33.536,37.12,33.728
132,33.792,37.376,33.984
133,34.048,37.632,34.24
134,34.304,38.4,34.496
135,34.56,38.656,34.752
136,34.816,38.912,35.008
137,35.072,39.424,35.264
138,35.328,39.936,35.52
139,35.584,40.448,35.776
140,35.84,40.704,36.032
141,36.096,41.472,36.288
142,36.352,41.728,36.544
143,36.608,41.984,36.8
144,36.864,42.24,37.056
145,37.12,43.008,37.312
146,37.376,43.52,37.568
147,37.632,43.776,37.824
148,37.888,44.032,38.08
149,38.144,44.288,38.336
150,38.4,44.288,38.592
151,38.656,44.8,38.848
152,38.912,45.056,39.104
153,39.168,45.312,39.36
154,39.424,45.568,39.616
155,39.68,45.568,39.872
156,39.936,46.592,40.128
157,40.192,47.36,40.384
158,40.448,48.128,40.64
159,40.704,48.384,40.896
160,40.96,48.384,41.152
161,41.216,49.152,41.408
162,41.472,49.152,41.664
163,41.728,49.664,41.92
164,41.984,49.664,42.176
165,42.24,49.664,42.432
166,42.496,49.664,42.688
167,42.752,49.664,42.944
168,43.008,49.92,43.2
169,43.264,50.176,43.456
170,43.52,50.176,43.712
171,43.776,50.944,43.968
172,44.032,51.2,44.224
173,44.288,51.456,44.48
174,44.544,52.48,44.736
175,44.8,52.48,44.992
176,45.056,52.48,45.248
177,45.312,52.48,45.504
178,45.568,52.48,45.76
179,45.824,52.48,46.016
180,46.08,52.48,46.272
181,46.336,52.48,46.528
182,46.592,52.48,46.784
183,46.848,52.48,47.04
184,47.104,52.48,47.296
185,47.36,52.48,47.552
186,47.616,52.736,47.808
187,47.872,55.04,48.064
188,48.128,55.296,48.32
189,48.384,55.552,48.576
190,48.64,55.552,48.832
191,48.896,56.064,49.088
192,49.152,56.32,49.344
193,49.408,56.576,49.6
194,49.664,56.832,49.856
195,49.92,57.088,50.112
196,50.176,57.344,50.368
197,50.432,57.344,50.624
198,50.688,57.344,50.88
199,50.944,57.344,51.136
200,51.2,57.344,51.392
201,51.456,57.344,51.648
202,51.712,58.624,51.904
203,51.968,58.88,52.16
204,52.224,59.136,52.416
205,52.48,59.392,52.672
206,52.736,59.648,52.928
207,52.992,59.648,53.184
208,53.248,59.904,53.44
209,53.504,60.16,53.696
210,53.76,60.416,53.952
211,54.016,60.672,54.208
212,54.272,60.672,54.464
213,54.528,61.184,54.72
214,54.784,61.44,54.976
215,55.04,61.44,55.232
216,55.296,61.952,55.488
217,55.552,62.208,55.744
218,55.808,62.464,56.0
219,56.064,62.72,56.256
220,56.32,62.976,56.512
221,56.576,63.488,56.768
222,56.832,63.744,57.024
