measure,live,ref,estimated_ref,alignment_error,accompaniment,accompaniment_error
1,0.0,0,0.0,0.0,0.1857596371882084,0.1857596371882084
2,3.9,4,3.7151928,-0.2848072052001953,3.9009523809523814,0.1857595861525767
3,8.15,8,7.987664,-0.012335777282714844,8.17342403628118,0.18575981356389448
4,12.01,12,11.888617,-0.11138343811035156,12.085702270101674,0.19708570821202542
5,16.0,16,15.789569,-0.21043109893798828,15.975733225908812,0.1861643248467999
6,20.11,20,17.089886,-2.910114288330078,17.69016686472557,0.6002811530556471
7,24.05,24,23.591475,-0.4085254669189453,23.69422358385841,0.10274905077735497
8,28.2,28,25.263311,-2.7366886138916016,26.09379073909125,0.8304793529828522
9,32.12,32,31.764898,-0.23510169982910156,31.877575015323092,0.11267671515219391
10,36.08,36,35.48009,-0.5199089050292969,35.48904384117352,0.008952746202815831
11,39.75,40,39.93832,-0.061679840087890625,39.697345714654084,-0.24097444525802558
12,43.93,44,43.839275,-0.16072463989257812,43.896745531297505,0.05747017119008291
13,48.1,48,47.740227,-0.25977325439453125,47.92499976041848,0.18477301481301112
14,51.95,52,52.384216,0.38421630859375,52.07646573827216,-0.3077505703215877
15,56.01,56,55.91365,-0.0863494873046875,55.60770169511431,-0.30594881758100456
16,60.15,60,59.8146,-0.18539810180664062,60.016312761654156,0.20171086346079647
17,64.04,64,63.901314,-0.09868621826171875,64.07229567266401,0.1709818909257308
18,67.55,68,67.43075,-0.5692520141601562,67.58947676156617,0.15872877572633115
19,71.85,72,71.70322,-0.296783447265625,71.88626142602573,0.183044873291351
20,76.1,76,75.23265,-0.7673492431640625,75.39196607425453,0.15931531741858862
21,80.21,80,80.0624,0.06240081787109375,80.12238328383671,0.05998246596561785
22,84.1,84,83.777596,-0.22240447998046875,83.62239901576986,-0.15519650424967324
23,87.8,88,87.86431,-0.13568878173828125,87.9766389048432,0.11232768658148018
24,91.68,92,91.95102,-0.048980712890625,91.9820764107385,0.03105712362912527
25,95.96,96,95.851974,-0.1480255126953125,96.06405059550062,0.21207610819593015
26,100.01,100,100.3102,0.31020355224609375,99.46811091970439,-0.8420926325417071
27,104.05,104,103.83964,-0.16036224365234375,103.92111127396208,0.08147351761442678
28,108.04,108,107.926346,-0.0736541748046875,108.11128521136823,0.18493938617291406
29,112.05,112,111.45578,-0.544219970703125,110.66779149862829,-0.787988530668585
30,115.7,116,115.72826,-0.2717437744140625,115.76818011995157,0.0399238943656286
31,120.01,120,119.6292,-0.37079620361328125,119.73320698204574,0.10400318565902467
32,124.09,124,123.71592,-0.28408050537109375,124.02226536452584,0.3063458698969299
33,127.83,128,127.24535,-0.7546463012695312,127.2024443608664,-0.04290933786407436
34,131.94,132,131.51782,-0.482177734375,131.6148467356722,0.09702447004718806
35,135.9,136,135.7903,-0.2097015380859375,135.9677261192047,0.17742765729065013
36,140.12,140,139.69125,-0.308746337890625,139.93042792788543,0.23917426577605738
