Soloist time: 0.19, Estimated time: 0.00, Accompanist time: 0.19, Playback rate: 1.00, Fuzzy membership: positive_small
Soloist time: 0.37, Estimated time: 0.19, Accompanist time: 0.37, Playback rate: 1.00, Fuzzy membership: positive_small
Soloist time: 0.56, Estimated time: 0.37, Accompanist time: 0.56, Playback rate: 1.00, Fuzzy membership: positive_small
Soloist time: 0.74, Estimated time: 0.56, Accompanist time: 0.74, Playback rate: 1.00, Fuzzy membership: positive_small
Soloist time: 0.93, Estimated time: 0.74, Accompanist time: 0.93, Playback rate: 1.00, Fuzzy membership: positive_small
Soloist time: 1.11, Estimated time: 0.93, Accompanist time: 1.11, Playback rate: 1.00, Fuzzy membership: positive_small
Soloist time: 1.30, Estimated time: 0.93, Accompanist time: 1.26, Playback rate: 0.76, Fuzzy membership: positive_small
Soloist time: 1.49, Estimated time: 1.11, Accompanist time: 1.39, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 1.67, Estimated time: 1.30, Accompanist time: 1.53, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 1.86, Estimated time: 1.30, Accompanist time: 1.66, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 2.04, Estimated time: 1.67, Accompanist time: 1.80, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 2.23, Estimated time: 1.67, Accompanist time: 1.94, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 2.41, Estimated time: 1.67, Accompanist time: 2.07, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 2.60, Estimated time: 2.23, Accompanist time: 2.23, Playback rate: 0.84, Fuzzy membership: zero
Soloist time: 2.79, Estimated time: 2.23, Accompanist time: 2.40, Playback rate: 0.92, Fuzzy membership: positive_small
Soloist time: 2.97, Estimated time: 2.41, Accompanist time: 2.59, Playback rate: 1.03, Fuzzy membership: positive_small
Soloist time: 3.16, Estimated time: 2.41, Accompanist time: 2.75, Playback rate: 0.83, Fuzzy membership: positive_small
Soloist time: 3.34, Estimated time: 2.41, Accompanist time: 2.88, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 3.53, Estimated time: 2.41, Accompanist time: 3.02, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 3.72, Estimated time: 2.41, Accompanist time: 3.12, Playback rate: 0.52, Fuzzy membership: positive_large
Soloist time: 3.90, Estimated time: 2.41, Accompanist time: 3.20, Playback rate: 0.46, Fuzzy membership: positive_large
