Soloist time: 0.19, Predicted time: 0.19, Accompanist time: 0.14, Playback rate: 1.00
Soloist time: 0.37, Predicted time: 0.37, Accompanist time: 0.33, Playback rate: 1.00
Soloist time: 0.56, Predicted time: 0.56, Accompanist time: 0.51, Playback rate: 1.00
Soloist time: 0.74, Predicted time: 0.74, Accompanist time: 0.70, Playback rate: 1.00
Soloist time: 0.93, Predicted time: 0.93, Accompanist time: 0.88, Playback rate: 1.00
Soloist time: 1.11, Predicted time: 1.11, Accompanist time: 1.07, Playback rate: 1.00
Soloist time: 1.30, Predicted time: 1.30, Accompanist time: 1.25, Playback rate: 1.00
Soloist time: 1.49, Predicted time: 1.49, Accompanist time: 1.44, Playback rate: 1.00
Soloist time: 1.67, Predicted time: 1.67, Accompanist time: 1.63, Playback rate: 1.00
Soloist time: 1.86, Predicted time: 1.86, Accompanist time: 1.81, Playback rate: 1.00
Soloist time: 2.04, Predicted time: 2.04, Accompanist time: 2.00, Playback rate: 1.00
Soloist time: 2.23, Predicted time: 2.23, Accompanist time: 2.18, Playback rate: 1.00
Soloist time: 2.41, Predicted time: 2.41, Accompanist time: 2.37, Playback rate: 1.00
Soloist time: 2.60, Predicted time: 2.60, Accompanist time: 2.55, Playback rate: 1.00
Soloist time: 2.79, Predicted time: 2.79, Accompanist time: 2.74, Playback rate: 1.00
Soloist time: 2.97, Predicted time: 2.97, Accompanist time: 2.93, Playback rate: 1.00
Soloist time: 3.16, Predicted time: 3.16, Accompanist time: 3.11, Playback rate: 1.00
Soloist time: 3.34, Predicted time: 3.34, Accompanist time: 3.30, Playback rate: 1.00
Soloist time: 3.53, Predicted time: 3.53, Accompanist time: 3.48, Playback rate: 1.00
Soloist time: 3.72, Predicted time: 3.72, Accompanist time: 3.67, Playback rate: 1.00
Soloist time: 3.90, Predicted time: 3.90, Accompanist time: 3.85, Playback rate: 1.00
Soloist time: 4.09, Predicted time: 4.09, Accompanist time: 4.04, Playback rate: 1.00
Soloist time: 4.27, Predicted time: 4.27, Accompanist time: 4.23, Playback rate: 1.00
Soloist time: 4.46, Predicted time: 4.46, Accompanist time: 4.41, Playback rate: 1.00
Soloist time: 4.64, Predicted time: 4.64, Accompanist time: 4.60, Playback rate: 1.00
Soloist time: 4.83, Predicted time: 4.83, Accompanist time: 4.78, Playback rate: 1.00
Soloist time: 5.02, Predicted time: 5.02, Accompanist time: 4.97, Playback rate: 1.00
Soloist time: 5.20, Predicted time: 5.20, Accompanist time: 5.15, Playback rate: 1.00
Soloist time: 5.39, Predicted time: 5.39, Accompanist time: 5.34, Playback rate: 1.00
Soloist time: 5.57, Predicted time: 5.57, Accompanist time: 5.53, Playback rate: 1.00
Soloist time: 5.76, Predicted time: 5.76, Accompanist time: 5.71, Playback rate: 1.00
Soloist time: 5.94, Predicted time: 5.94, Accompanist time: 5.90, Playback rate: 1.00
Soloist time: 6.13, Predicted time: 6.13, Accompanist time: 6.08, Playback rate: 1.00
Soloist time: 6.32, Predicted time: 6.32, Accompanist time: 6.27, Playback rate: 1.00
Soloist time: 6.50, Predicted time: 6.50, Accompanist time: 6.46, Playback rate: 1.00
Soloist time: 6.69, Predicted time: 6.69, Accompanist time: 6.64, Playback rate: 1.00
Soloist time: 6.87, Predicted time: 6.87, Accompanist time: 6.83, Playback rate: 1.00
Soloist time: 7.06, Predicted time: 7.06, Accompanist time: 7.01, Playback rate: 1.00
Soloist time: 7.24, Predicted time: 7.24, Accompanist time: 7.20, Playback rate: 1.00
Soloist time: 7.43, Predicted time: 7.43, Accompanist time: 7.38, Playback rate: 1.00
Soloist time: 7.62, Predicted time: 7.62, Accompanist time: 7.57, Playback rate: 1.00
Soloist time: 7.80, Predicted time: 7.80, Accompanist time: 7.76, Playback rate: 1.00
Soloist time: 7.99, Predicted time: 7.99, Accompanist time: 7.94, Playback rate: 1.00
